serial number,beds,baths,size,zip_code,price
593,3,2.5,1970,98103,715000
990,2,1.0,1410,98118,590000
1992,2,2.0,1456,98199,575000
582,3,3.5,3130,98105,2350000
727,4,2.5,3680,98118,1880000
398,1,1.0,727,98103,445000
572,3,2.0,1460,98116,759000
436,2,2.0,1125,98102,705000
192,4,2.0,2370,98115,1350000
1656,4,2.5,3707,98177,2100000
618,1,1.0,773,98121,685000
292,4,2.0,2340,98115,925000
1583,3,2.0,1170,98144,740000
1565,2,1.5,770,98116,550000
812,3,3.5,2106,98115,1266000
1549,3,2.5,2860,98126,1630000
507,1,1.0,954,98101,555000
141,3,2.5,1670,98178,600000
1404,3,2.0,1940,98107,895000
2,4,3.0,2040,98107,950000
756,2,2.0,1030,98125,826500
1885,3,3.5,3290,98126,1400000
1259,4,5.5,3100,98125,1375000
339,3,3.0,1460,98144,1000000
1544,5,3.5,3880,98112,2975000
982,4,3.5,2640,98103,1750000
538,3,1.0,1220,98107,750000
265,3,2.5,1566,98122,875000
376,4,1.0,1310,98146,735000
692,3,3.0,1454,98122,890955
1691,3,2.0,1540,98122,900000
439,3,4.5,3760,98199,1570000
271,2,2.5,1884,98116,925000
184,2,1.5,1230,98122,650000
948,3,2.0,1759,98116,890000
244,3,2.5,2000,98106,799000
1091,2,1.0,830,98103,942000
445,2,2.0,1170,98115,428000
599,3,3.5,2570,98105,2000000
824,2,2.0,1369,98116,720000
1651,2,2.0,1353,98115,770000
1417,4,2.0,1680,98178,517500
1322,2,2.5,1088,98133,475000
978,3,1.0,910,98106,650000
415,3,2.0,2050,98109,1265000
273,2,2.0,1196,98107,734999
736,3,2.0,1060,98106,599000
1650,3,3.5,1846,98107,1170000
1465,3,2.5,1710,98115,1190000
250,2,3.0,1300,98107,780000
413,4,3.0,3320,98116,750000
620,2,2.0,2353,98116,1160000
1316,3,1.0,1000,98136,750000
1775,3,2.0,1590,98117,880000
310,2,2.0,1170,98144,624999
777,4,3.0,3090,98168,210000
381,4,2.0,2360,98115,950000
561,1,1.0,709,98109,470000
425,3,1.0,2160,98115,920000
1890,4,3.0,2230,98115,1150000
534,2,1.0,1027,98115,300000
757,3,2.0,1514,98107,915000
771,8,4.0,3136,98146,1005000
1366,1,1.0,1100,98107,745000
408,3,2.0,1590,98146,560000
1625,1,1.0,597,98109,360000
1600,4,3.5,2400,98103,1750000
1955,2,2.5,1736,98122,970000
1161,1,2.0,1009,98116,525000
944,1,1.0,640,98144,497000
1159,3,3.0,1620,98136,1058000
1569,2,1.0,1650,98106,630000
650,1,1.0,557,98102,370000
1913,3,3.5,1300,98106,583000
182,1,1.0,854,98107,455000
170,4,2.5,3060,98115,1450000
1943,5,4.0,2030,98144,670000
590,2,1.0,1040,98133,350000
1892,2,1.0,925,98103,535000
1696,5,4.0,2447,98117,1500000
857,4,1.0,1340,98144,685000
272,3,2.5,1712,98117,910000
1560,3,3.5,1580,98144,760000
1545,4,2.0,2280,98168,625000
1452,3,2.0,2100,98116,1325000
371,2,2.5,1580,98106,699000
222,4,4.5,2440,98105,1900000
904,6,5.5,4299,98115,3300000
1759,2,2.0,1320,98119,860000
1319,5,3.0,2820,98117,1550000
518,4,3.5,5690,98112,3630000
334,4,2.0,1730,98146,852000
1581,4,1.0,1150,98118,575000
1344,4,3.0,2481,98115,999000
1812,3,2.5,1813,98116,1275000
607,5,4.0,2470,98118,1005000
15,2,1.5,900,98133,549755
1460,2,1.0,910,98117,800000
1990,3,1.5,2200,98117,860000
1550,2,2.0,1479,98116,640000
1872,2,1.5,1022,98144,729000
610,2,2.0,693,98119,490000
1448,3,3.0,2630,98115,1130000
465,2,1.0,903,98146,363500
1401,3,2.0,1730,98125,910000
199,2,1.0,900,98126,480000
1280,4,3.5,3495,98144,2000000
1341,4,2.0,2600,98117,1098500
1797,2,2.0,980,98118,849950
1309,4,3.5,3300,98125,1575000
1743,3,2.0,1470,98106,600000
1624,2,2.0,875,98116,625000
1755,3,2.5,1515,98102,905000
1423,5,4.0,3180,98105,2100000
976,1,1.0,1270,98108,915000
570,3,2.0,1660,98115,795000
43,1,1.0,617,98109,480000
274,3,2.0,1098,98105,864950
1906,3,1.0,860,98178,425000
101,1,1.0,756,98121,550000
1427,3,1.5,1880,98118,489000
733,3,2.0,1370,98103,1270000
1399,3,4.5,1760,98109,1440000
107,4,4.0,3142,98119,1600000
1041,3,2.5,1600,98144,699900
497,3,2.5,2783,98199,1640000
1996,1,1.0,600,98122,310000
889,3,3.5,2188,98112,1700000
1433,1,1.0,615,98199,315000
1610,5,3.0,2360,98103,1240000
1114,3,2.5,1610,98119,875000
1616,5,6.5,6240,98115,3122000
619,2,2.0,1040,98118,345000
865,3,1.5,1550,98133,835000
72,4,1.5,2640,98115,1850000
1247,5,2.0,3210,98115,688000
1222,2,2.0,900,98122,590000
1175,3,1.0,2130,98117,850000
1494,3,2.0,2630,98117,1290000
481,4,2.5,2560,98116,1712000
1075,4,2.5,1910,98103,1625000
506,4,2.0,2037,98119,1247500
679,2,2.0,1526,98199,893000
1235,4,3.5,2304,98103,1550000
2005,5,4.0,2734,98115,1300000
745,3,2.0,1100,98122,645000
1117,2,2.5,1086,98115,884950
1239,1,1.0,704,98144,645000
311,1,1.0,587,98125,260000
834,3,2.5,1861,98121,1395000
405,2,2.0,1370,98121,1050000
1919,3,1.0,1320,98168,529000
1151,3,2.5,1360,98103,700000
309,5,3.0,2777,98125,1338600
226,4,3.0,2478,98105,2095000
1711,4,1.5,2770,98119,850000
1006,3,2.0,1250,98106,625000
1640,6,4.5,5200,98144,3050000
832,4,3.0,2200,98118,874999
1436,2,1.5,1390,98107,759950
148,5,4.0,2810,98103,1295000
744,2,2.0,1020,98118,605000
1084,1,1.0,808,98164,560000
838,2,2.5,2714,98102,1735000
1220,3,2.0,2140,98133,925000
845,4,2.0,1470,98118,460000
575,4,2.0,1160,98103,710000
